"match_key","original_entity","entity_today","succession_year","succession_type","note"
"Monsanto","Monsanto Company (original, 1901-2000)","Split three ways: chemical liabilities to Solutia (1997), acquired by Eastman Chemical (2012); pharmaceutical arm merged into Pharmacia (2000), acquired by Pfizer (2003); agricultural business relisted as 'new Monsanto', acquired by Bayer (2018)","1997","liability_spinoff","The Anniston PCB liability follows Solutia and Pharmacia, not the agricultural business that Bayer bought. Bayer retired the Monsanto name in 2018 but inherited the Roundup litigation, not the PCB litigation"
"US Radium","US Radium Corporation","Safety Light Corporation","1980","rename","Renamed itself Safety Light; later left radium contamination at its Bloomsburg, Pennsylvania site that became a Superfund case"
"Radium Dial","Radium Dial Company","Luminous Processes Inc., dissolved 1978","1930","rename","Reconstituted under a new name in the same business while the Ottawa claims were live"
"Ethyl Corporation","Ethyl Corporation","NewMarket Corporation (Afton Chemical)","2004","rename","Petroleum additives business reorganised under a new holding name; Ethyl Corporation survives as a subsidiary"
"Standard Oil","Standard Oil Company of New Jersey","ExxonMobil","1972","rename","Esso from 1926, Exxon from 1972, ExxonMobil after the 1999 merger"
"A.H. Robins","A.H. Robins Company","American Home Products (1989), renamed Wyeth (2002), acquired by Pfizer (2009)","1989","acquisition","Dalkon Shield claims were channelled into a court-supervised trust before the acquisition"
"Union Carbide","Union Carbide Corporation","Dow Chemical, now Dow Inc.","2001","acquisition","Dow maintains that it did not acquire Bhopal liability. Union Carbide India Ltd was sold in 1994 and renamed Eveready Industries India"
"Chisso","Chisso Corporation","JNC Corporation","2011","liability_spinoff","Operations transferred to JNC under a law allowing separation; Chisso remains as a shell whose sole function is paying Minamata compensation"
"Hooker Chemical","Hooker Chemical and Plastics","Occidental Chemical Corporation (OxyChem)","1982","rename","Occidental settled the Love Canal claims in 1995 under the successor name"
"Allied Chemical","Allied Chemical Corporation","Honeywell International","1999","acquisition","Allied Chemical to AlliedSignal in 1985, then merged with Honeywell and took the Honeywell name"
"B.F. Goodrich","B.F. Goodrich (chemical division)","Lubrizol, a Berkshire Hathaway subsidiary","2004","acquisition","Chemicals spun off as Noveon, then acquired by Lubrizol, then by Berkshire Hathaway in 2011"
"Johns-Manville","Johns-Manville Corporation","Johns Manville, a Berkshire Hathaway subsidiary","2001","court_ordered","Chapter 11 in 1982 created the Manville Personal Injury Trust, the model for later asbestos trusts"
"Philip Morris","Philip Morris Companies","Altria Group","2003","rename","Renamed two years before the RICO trial concluded; Philip Morris USA continues as a subsidiary"
"R.J. Reynolds","R.J. Reynolds Tobacco Company","British American Tobacco","2017","acquisition","Via Reynolds American; the RJR name survives as a subsidiary brand"
"Brown and Williamson","Brown and Williamson","Merged into R.J. Reynolds, now British American Tobacco","2004","acquisition","The Wigand documents predate the merger"
"Distillers","Distillers Company (Biochemicals)","Diageo","1997","acquisition","Acquired by Guinness in 1986, which became Diageo in 1997; thalidomide payments continue through the Thalidomide Trust"
"Chemie Gruenenthal","Chemie Gruenenthal GmbH","Gruenenthal GmbH","1995","unchanged","Still privately held by the Wirtz family. Issued its first apology in 2012, fifty years on"
"S.E. Massengill","S.E. Massengill Company","Haleon, via Beecham and GlaxoSmithKline","2022","acquisition","Acquired by Beecham in 1971; the consumer health business was demerged as Haleon in 2022"
"Purdue Pharma","Purdue Pharma L.P.","Knoa Pharma LLC","2026","court_ordered","Purdue ceased operations on 1 May 2026 and was dissolved. Knoa is a public benefit company owned by the National Opioid Abatement Trust, with no Sackler involvement, created to fund abatement. This is a court-imposed remedy, not a rebrand"
"Takata","Takata Corporation","Joyson Safety Systems","2018","acquisition","Assets sold to Key Safety Systems, owned by Ningbo Joyson, after the guilty plea and bankruptcy"
"Wyeth","Wyeth (American Home Products)","Pfizer","2009","acquisition",""
"IG Farben","IG Farbenindustrie AG","Broken up into BASF, Bayer, Hoechst and Agfa","1951","dissolved","Hoechst later became part of Sanofi via Aventis. The liquidation entity IG Farben i.L. was not wound up until 2012"
"Krupp","Friedrich Krupp AG","ThyssenKrupp","1999","acquisition","Paid into the German Forced Labour Compensation fund established in 2000"
"Topf","J.A. Topf und Soehne","Dissolved; the Erfurt works is now a memorial","1996","dissolved","Expropriated in 1948, run as a state enterprise, liquidated after reunification"
"Eternit","Eternit","Etex Group (Belgium); Swisspearl (Switzerland)","2001","rename","The Swiss and Belgian branches of the Schmidheiny and Emsens businesses both dropped the Eternit name"
"BHP","BHP Billiton","BHP","2018","rename","Samarco remains a joint venture with Vale under its own name"
"Firestone","Firestone Tire and Rubber","Bridgestone","1988","acquisition","Bridgestone still operates the Liberian plantation through Firestone Liberia"
"General Motors","General Motors Corporation","New GM (General Motors Company); the predecessor became Motors Liquidation Company","2009","court_ordered","New GM argued the 2009 bankruptcy shielded it from pre-bankruptcy ignition switch claims. Courts allowed some claims through on the ground that GM knew of the defect before the bankruptcy"
"Johnson and Johnson","Johnson and Johnson","Johnson and Johnson; talc liabilities moved to LTL Management, later Red River Talc","2021","liability_spinoff","The Texas two-step: talc claims were split into a new subsidiary which immediately filed for bankruptcy. Courts rejected the manoeuvre three times, most recently in 2025"
"Kerr-McGee","Kerr-McGee Corporation","Tronox holds the legacy liabilities; the oil assets went to Anadarko, now Occidental","2005","liability_spinoff","A US court found the split was a fraudulent conveyance designed to strand environmental liabilities. Settled for 5.15 billion dollars in 2014. No event row in this dataset yet; the clearest court-tested case of restructuring to escape a legacy"
"Sanlu","Sanlu Group","Dissolved; dairy assets acquired by Sanyuan","2009","dissolved","Declared bankrupt after the melamine convictions"
"Poly Implant","Poly Implant Prothese","Liquidated","2010","dissolved","Jean-Claude Mas was convicted in 2013; the company no longer exists to pay claims"
