"id","event_name","parent_campaign","layer","default_visible","start_year","end_year","place_name","country_today","lat","lon","geometry_type","site_role","perpetrator","succession_type","perpetrator_today","target_group","category","deaths_low","deaths_high","toll_basis","affected_low","affected_high","affected_measure","toll_note","evidence_tier","status","documentation_completeness","completeness_note","key_source","verification_status","verified_note","notes"
"EV0001","Siege and sack of Tenochtitlan","Spanish conquest of Mexico","core","TRUE","1521","1521","Tenochtitlan (Mexico City)","Mexico","19.4326","-99.1332","point","victim_site","Spanish crown / Cortes expedition","","","Mexica population","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Sahagun, Florentine Codex Bk XII; Restall","unverified","","Starvation siege of a city; toll disputed"
"EV0004","Potosi mita forced labour","Spanish colonial mining","core","TRUE","1545","1825","Potosi","Bolivia","-19.5836","-65.7531","point","victim_site","Spanish crown","","","Andean communities","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Bakewell; Tandeter","unverified","","Rotational conscript labour in silver mines"
"EV0015","Amritsar (Jallianwala Bagh) massacre","British rule in India","core","TRUE","1919","1919","Jallianwala Bagh, Amritsar","India","31.6206","74.8800","point","victim_site","British Indian Army (Dyer)","","","Unarmed crowd","colonial conquest","379","1000","documented_estimate","","","","","1","confirmed","not_assessed","","Hunter Committee report 1920","unverified","","Official inquiry gives a documented low figure; Indian estimates higher"
"EV0042","Transatlantic slave trade","Atlantic slavery system","core","TRUE","1501","1867","Atlantic basin","Multiple","","","network","victim_site","European and American traders and states","","","Enslaved Africans","slavery and forced labour","1800000","2400000","documented_estimate","12500000","","people embarked; 10.7 million survived to disembark","Middle Passage mortality only, derived from the gap between embarkation and disembarkation in SlaveVoyages. Deaths during capture and the march to the coast are widely thought to equal or exceed this and are not counted anywhere","1","confirmed","extensive","SlaveVoyages: 36,000+ voyages with ports and dates","SlaveVoyages.org (36,000+ voyages, ports and dates)","unverified","","Parent record; use SlaveVoyages for site-level pins"
"EV0043","Elmina Castle slave fort","Transatlantic slave trade","core","TRUE","1500","1814","Elmina","Ghana","5.0847","-1.3486","point","victim_site","Portuguese then Dutch","","","Enslaved Africans","slavery and forced labour","","","not_quantified","","","","","1","confirmed","not_assessed","","SlaveVoyages; UNESCO dossier","unverified","",""
"EV0060","Kafala system deaths","Gulf migrant labour","register","FALSE","1970","2025","Gulf states","Multiple","","","unmapped","victim_site","Employers and states","","","Migrant workers","slavery and forced labour","","","not_quantified","","","","","3","contested","not_assessed","","ILO; Amnesty; Guardian investigations","unverified","","Mortality attribution heavily disputed; keep as tier 3"
"EV0061","Qatar World Cup construction deaths","Gulf migrant labour","register","FALSE","2010","2022","Doha","Qatar","","","unmapped","victim_site","Contractors and state","","","South Asian migrant workers","slavery and forced labour","","","not_quantified","","","","","3","contested","not_assessed","","ILO 2021; Guardian; contested counts","unverified","","Do not use the widely circulated 6,500 figure without qualification"
"EV0066","Trail of Tears and Indian Removal","US Indian Removal policy","core","TRUE","1830","1850","Southeast to Indian Territory","United States","","","route","victim_site","US federal government","","","Cherokee, Choctaw, Creek, Chickasaw, Seminole","indigenous dispossession","","","not_quantified","","","","","1","confirmed","not_assessed","","Indian Removal Act 1830; US Army records","unverified","","Route geometry, not a point"
"EV0069","Sand Creek massacre","US Indian Wars","core","TRUE","1864","1864","Kiowa County, Colorado","United States","38.5478","-102.5070","point","victim_site","Colorado Territory militia (Chivington)","","","Cheyenne and Arapaho","indigenous dispossession","150","230","documented_estimate","","","","","1","confirmed","not_assessed","","Congressional Joint Committee 1865; NPS site","unverified","",""
"EV0072","Wounded Knee massacre","US Indian Wars","core","TRUE","1890","1890","Wounded Knee Creek, South Dakota","United States","43.1400","-102.3650","point","victim_site","US 7th Cavalry","","","Lakota","indigenous dispossession","250","300","documented_estimate","","","","","1","confirmed","not_assessed","","Army investigation; NPS","unverified","",""
"EV0075","Australian frontier massacres","Colonisation of Australia","core","TRUE","1788","1930","416 recorded sites nationwide","Australia","","","multi_point","victim_site","Settlers, native police, colonial forces","","","Aboriginal peoples","indigenous dispossession","10000","","documented_estimate","","","","","1","confirmed","extensive","Univ. of Newcastle: 416 massacres with corroborating sources","Colonial Frontier Massacres in Australia, Univ. of Newcastle","source_checked","Newcastle 416 massacres confirmed","416 massacres mapped with corroborating sources; import directly"
