"id","event_name","parent_campaign","layer","default_visible","start_year","end_year","place_name","country_today","lat","lon","coord_source","coord_precision","geometry_type","site_role","perpetrator","succession_type","perpetrator_today","target_group","category","deaths_low","deaths_high","toll_basis","affected_low","affected_high","affected_measure","toll_note","evidence_tier","status","documentation_completeness","completeness_note","key_source","verification_status","verified_note","notes"
"EV0001","Siege and sack of Tenochtitlan","Spanish conquest of Mexico","core","TRUE","1521","1521","Tenochtitlan (Mexico City)","Mexico","19.4326","-99.1332","fixture_dev","site","point","victim_site","Spanish crown / Cortes expedition","","","Mexica population","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Sahagun, Florentine Codex Bk XII; Restall","unverified","","Starvation siege of a city; toll disputed"
"EV0002","Encomienda and forced labour, Hispaniola","Spanish conquest of the Caribbean","core","TRUE","1500","1550","Hispaniola","Dominican Republic / Haiti","","","","","region","victim_site","Spanish colonists","","","Taino","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Las Casas, Brevisima relacion; Cook & Borah","unverified","","Disease and forced labour intertwined; separate the deliberate component"
"EV0003","Cajamarca massacre","Spanish conquest of Peru","core","TRUE","1532","1532","Cajamarca","Peru","-7.1637","-78.5003","unverified_ai","settlement","point","victim_site","Pizarro expedition","","","Inca retinue","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Hemming, The Conquest of the Incas","unverified","",""
"EV0004","Potosi mita forced labour","Spanish colonial mining","core","TRUE","1545","1825","Potosi","Bolivia","-19.5836","-65.7531","fixture_dev","site","point","victim_site","Spanish crown","","","Andean communities","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Bakewell; Tandeter","unverified","","Rotational conscript labour in silver mines"
"EV0005","Huancavelica mercury mita","Spanish colonial mining","core","TRUE","1564","1810","Huancavelica","Peru","-12.7867","-74.9758","unverified_ai","settlement","point","victim_site","Spanish crown","","","Andean communities","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Robins, Mercury, Mining and Empire","unverified","","Mercury poisoning as a known and accepted cost"
"EV0006","Banda Islands massacre","VOC monopoly enforcement","core","TRUE","1621","1621","Banda Neira / Lonthor","Indonesia","","","","","multi_point","victim_site","Dutch East India Company (Jan Pieterszoon Coen)","","","Bandanese","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Loth; VOC archive, Nationaal Archief","unverified","","Population largely killed, deported or enslaved"
"EV0007","Batavia massacre of Chinese residents","VOC rule in the Indies","core","TRUE","1740","1740","Batavia (Jakarta)","Indonesia","-6.1751","106.865","unverified_ai","settlement","point","victim_site","Dutch East India Company","","","Chinese residents","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Raben; VOC records","unverified","",""
"EV0008","Aceh War","Dutch colonial expansion","core","TRUE","1873","1914","Aceh","Indonesia","","","","","region","victim_site","Netherlands (KNIL)","","","Acehnese","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Dutch military archives; van 't Veer","unverified","",""
"EV0009","Siege of Drogheda","Cromwellian conquest of Ireland","core","TRUE","1649","1649","Drogheda","Ireland","53.7189","-6.3478","unverified_ai","settlement","point","victim_site","New Model Army","","","Garrison and townspeople","colonial conquest","","","not_quantified","","","","","1","confirmed","not_assessed","","Cromwell's own dispatches; Ohlmeyer","unverified","",""
"EV0010","Siege of Wexford","Cromwellian conquest of Ireland","core","TRUE","1649","1649","Wexford","Ireland","52.3369","-6.4633","unverified_ai","settlement","point","victim_site","New Model Army","","","Garrison and townspeople","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Contemporary accounts; Lenihan","unverified","",""
"EV0011","Transportation of Irish to Barbados","Cromwellian conquest of Ireland","core","TRUE","1649","1660","Bridgetown","Barbados","13.1059","-59.6131","unverified_ai","settlement","point","victim_site","English Commonwealth","","","Irish prisoners and civilians","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Beckles; Commonwealth state papers","unverified","",""
"EV0012","Sack of Magdeburg","Thirty Years War","core","TRUE","1631","1631","Magdeburg","Germany","52.1205","11.6276","unverified_ai","settlement","point","victim_site","Catholic League / Imperial army","","","Civilian population","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Medick & Marschke","unverified","",""
"EV0013","Highland Clearances","British agrarian displacement","core","TRUE","1750","1860","Sutherland and the Highlands","United Kingdom","","","","","region","victim_site","Landowners with state backing","","","Highland tenants","colonial conquest","","","not_quantified","","","","","2","confirmed","not_assessed","","Richards, The Highland Clearances","unverified","","Forced eviction; deaths mainly indirect"
"EV0014","Great Irish Famine","British rule in Ireland","core","TRUE","1845","1852","Ireland","Ireland","","","","","region","victim_site","British government policy","","","Irish rural poor","colonial conquest","1000000","1500000","documented_estimate","","","","","2","contested","not_assessed","","Kinealy; O Grada","unverified","","Debated whether policy crossed into deliberate; document the debate"
"EV0015","Amritsar (Jallianwala Bagh) massacre","British rule in India","core","TRUE","1919","1919","Jallianwala Bagh, Amritsar","India","31.6206","74.8800","fixture_dev","site","point","victim_site","British Indian Army (Dyer)","","","Unarmed crowd","colonial conquest","379","1000","documented_estimate","","","","","1","confirmed","not_assessed","","Hunter Committee report 1920","unverified","","Official inquiry gives a documented low figure; Indian estimates higher"
"EV0016","Bengal famine of 1770","British East India Company rule","register","FALSE","1769","1771","Bengal","India / Bangladesh","","","","","unmapped","victim_site","East India Company revenue policy","","","Bengali peasantry","colonial conquest","1200000","10000000","documented_estimate","","","","The often-repeated ten million rests on a contemporary claim that a third of Bengal died. Company revenue records support severe mortality without fixing a number","2","contested","not_assessed","","Datta; Company records","unverified","",""
"EV0017","Great Famine of 1876-78","British rule in India","core","TRUE","1876","1878","Madras and Deccan","India","","","","","region","victim_site","British administration","","","Rural population","colonial conquest","5500000","10300000","documented_estimate","","","","Maharatna and Davis give the range. The dispute is not the mortality but whether continued grain export makes it deliberate","2","contested","not_assessed","","Davis, Late Victorian Holocausts","unverified","","Export policy during famine is the disputed element"
"EV0018","Bengal famine of 1943","British rule in India","core","TRUE","1943","1944","Bengal","India / Bangladesh","","","","","region","victim_site","British war administration","","","Bengali rural poor","colonial conquest","2100000","3000000","documented_estimate","","","","","2","contested","not_assessed","","Famine Inquiry Commission 1945; Sen; Mukerjee","unverified","",""
