"id","event_name","parent_campaign","start_year","end_year","place_name","country_today","lat","lon","geometry_type","perpetrator","target_group","category","deaths_low","deaths_high","evidence_tier","key_source","status","notes","register_reason","what_would_unlock_it"
"EV0016","Bengal famine of 1770","British East India Company rule","1769","1771","Bengal","India / Bangladesh","","","unmapped","East India Company revenue policy","Bengali peasantry","colonial conquest","","","2","Datta; Company records","contested","","Company revenue records give district revenue collapse, not located mortality","District-level Company diwani records tied to settlement data"
"EV0022","Maji Maji rebellion suppression","German East Africa","1905","1907","Southern Tanzania","Tanzania","","","unmapped","German colonial forces","Local populations","colonial conquest","","","2","Iliffe; German colonial records","confirmed","Deliberate famine used as a weapon","Famine was created across a broad region; no village-level record","German colonial district officer reports in the Bundesarchiv"
"EV0032","Portuguese forced labour regime","Portuguese African colonies","1899","1961","Angola and Mozambique","Angola / Mozambique","","","unmapped","Portuguese state and concessionaires","African labourers","colonial conquest","","","2","Ross report 1925; ILO 1962","confirmed","","Contract labour recruitment was administratively diffuse across two colonies","Portuguese colonial labour inspectorate files in the Arquivo Histórico Ultramarino"
"EV0052","Trans-Saharan slave trade","Saharan slavery system","1500","1900","Trans-Saharan routes","Multiple","","","unmapped","North African and Sahelian traders","Enslaved Africans","slavery and forced labour","","","2","Lovejoy, Transformations in Slavery","confirmed","","Market towns are documented, but transit mortality across the desert has no located record","Caravan manifests and oasis toll records; largely unstudied"
"EV0056","Peonage in the US South","Post-emancipation US South","1865","1945","Rural South","United States","","","unmapped","Landowners with state acquiescence","Black labourers","slavery and forced labour","","","1","DOJ Circular 3591; federal prosecutions","confirmed","","Federal prosecutions name counties but the practice was farm-by-farm","DOJ peonage case files, digitised but not geocoded"
"EV0059","Romusha forced labour mobilisation","Japanese occupation of the Indies","1942","1945","Java and outer islands","Indonesia","","","unmapped","Imperial Japanese Army","Javanese labourers","slavery and forced labour","","","2","Sato; Kratoska","confirmed","","Labourers dispersed across occupied Asia; no deployment register survives","Japanese Army labour deployment records, mostly destroyed in 1945"
"EV0060","Kafala system deaths","Gulf migrant labour","1970","2025","Gulf states","Multiple","","","unmapped","Employers and states","Migrant workers","slavery and forced labour","","","3","ILO; Amnesty; Guardian investigations","contested","Mortality attribution heavily disputed; keep as tier 3","Deaths recorded by nationality and employer sector, never by workplace","Employer-level mortality reporting; does not currently exist in any Gulf state"
"EV0061","Qatar World Cup construction deaths","Gulf migrant labour","2010","2022","Doha","Qatar","","","unmapped","Contractors and state","South Asian migrant workers","slavery and forced labour","","","3","ILO 2021; Guardian; contested counts","contested","Do not use the widely circulated 6,500 figure without qualification","Circulating totals are national migrant-death counts, not site-attributed","Site-level fatality reporting by contractor; never published"
"EV0081","Ache persecution","Paraguay under Stroessner","1954","1989","Eastern Paraguay","Paraguay","","","unmapped","State-tolerated hunters and settlers","Ache","indigenous dispossession","","","2","Munzel; IACHR petitions","contested","","Deaths occurred through dispersed hunting and enslavement over decades","Paraguayan Indigenous affairs records; Comisión de Verdad y Justicia annexes"
"EV0164","Three Alls policy (Sanko Sakusen)","Second Sino-Japanese War","1940","1945","North China","China","","","unmapped","Imperial Japanese Army","Rural population","war crimes","","","2","Himeta; Japanese military records","confirmed","Kill all, burn all, loot all","A handful of massacres are located; the campaign as a whole is not","Japanese North China Area Army operational records"
"EV0166","Partition violence","Partition of India","1947","1948","Punjab, Bengal, Delhi","India / Pakistan","","","unmapped","Communal militias on all sides","Hindus, Muslims, Sikhs","state mass killing","200000","2000000","2","Butalia; Khan, The Great Partition","confirmed","No single perpetrator; structure accordingly","No systematic massacre inventory was ever compiled by either state","Partition-era police and district magistrate records in Indian and Pakistani archives"
"EV0171","Chinese land reform campaign","Chinese Communist consolidation","1947","1952","Rural China","China","","","unmapped","Chinese Communist Party","Landlords and rich peasants","state mass killing","1000000","2000000","2","Yang Kuisong; party archives","confirmed","","Killings were village-level and universal; no compiled site list exists","County gazetteers, as were used for the Great Leap"
"EV0219","Ikiza (Burundi genocide of 1972)","Burundian ethnic violence","1972","1972","Nationwide","Burundi","","","unmapped","Tutsi-dominated government and army","Hutu, especially the educated","state mass killing","100000","300000","2","Lemarchand; UN reports","confirmed","","No commission ever mapped the killings or the graves","Burundian truth commission fieldwork; partially begun then suspended"
"EV0220","Burundi 1993 violence","Burundian ethnic violence","1993","1993","Nationwide","Burundi","","","unmapped","Multiple actors","Tutsi and Hutu","state mass killing","50000","100000","1","UN International Commission of Inquiry 1996","confirmed","","UN inquiry established responsibility but not a site inventory","Exhumation programme; not undertaken"
"EV0279","Chinese one-child policy enforcement","Chinese population control","1979","2015","Nationwide, with regional campaigns","China","","","unmapped","Chinese state and local officials","Women and families","institutional abuse","","","2","Greenhalgh; Chinese health statistics; Scharping","contested","Coercion varied greatly by province and period; avoid a single national claim","Coercion varied by province and campaign; only Linyi 2005 is documented as a located case","Provincial family planning enforcement records; inaccessible"
"EV0292","Thalidomide","Pharmaceutical harm","1957","1961","Germany, UK, Japan, Australia","Multiple","","","unmapped","Chemie Grunenthal and licensees","Pregnant women and infants","institutional abuse","","","1","Aachen trial 1968-70; UK Distillers settlement","confirmed","About 10,000 affected births","Harm followed a distributed product, not a place","Nothing would; national affected-population counts are the correct unit"
"EV0302","Tobacco industry concealment","Corporate public health harm","1953","2006","United States and globally","Multiple","","","unmapped","Major tobacco manufacturers","Smokers","corporate and industrial harm","","","1","US v Philip Morris RICO judgment 2006 (Judge Kessler)","confirmed","Court found a decades-long scheme to deceive","The harm is a corporate course of conduct with no geography","Nothing would; this belongs in a register permanently"
"EV0331","Vietnamese persecution of Catholics","Nguyen dynasty religious policy","1833","1862","Tonkin and Annam","Vietnam","","","unmapped","Nguyen dynasty","Vietnamese Catholics","religious persecution","","","2","Missionary records; Vietnamese court edicts","confirmed","","Execution sites named only in missionary correspondence, never compiled","Nguyen dynasty court edict records; Missions Etrangeres de Paris archive"
"EV0375","Mass rape in the Bangladesh Liberation War","Bangladesh Liberation War","1971","1971","Dhaka; Khulna; nationwide","Bangladesh","","","unmapped","Pakistan Army and allied militias","Bengali women","mass sexual violence","","","2","Bangladeshi Birangona records; Brownmiller; D'Costa","contested","Commonly cited figures of 200,000 to 400,000 are disputed","Birangona testimony is extensive but camp locations were never inventoried","Bangladeshi Ministry of Liberation War Affairs rehabilitation files"
"EV0385","Mass rape during the Soviet advance","Second World War","1944","1945","Eastern Germany; Hungary; Austria","Multiple","","","unmapped","Red Army personnel","German, Hungarian and other women","mass sexual violence","","","2","Naimark; Beevor; Berlin hospital records","contested","Scale estimates are contested and politically charged","Estimates extrapolated from a small number of Berlin hospital records","German municipal health office records for 1945-46 across the eastern zone"
"EV0436","Children of God systematic child abuse","The Family International","1968","2005","Communes across dozens of countries","Multiple","","","unmapped","Movement leadership (David Berg and successors)","Children raised in the group","cult and coercive organisation","","","2","UK High Court judgment 1995 (Ward J); survivor testimony; internal publications","confirmed","The 1995 English judgment is the strongest single legal document","Communes moved constantly and were deliberately unregistered","Internal Family International records cited in the 1995 English judgment"
